model,CAM,surf,loc,rmse,baseline-rmse,r2,baseline-r2,mae,baseline-mae
FLAML,Y,Y,Y,0.911308,0.80814,0.992768,0.994313,0.66465,0.573159
FLAML,Y,Y,N,0.941998,0.841556,0.992273,0.993833,0.687743,0.599209
FLAML,Y,N,Y,0.92628,0.819228,0.992529,0.994156,0.678841,0.584639
FLAML,Y,N,N,1.474777,1.374599,0.981061,0.983546,1.09268,1.007563
lgbm,Y,Y,Y,0.91131,0.80814,0.992768,0.994313,0.664652,0.573159
lgbm,Y,Y,N,0.938089,0.839991,0.992337,0.993856,0.685031,0.597952
lgbm,Y,N,Y,0.929709,0.807184,0.992473,0.994327,0.67358,0.567816
lgbm,Y,N,N,1.470779,1.376213,0.981163,0.983508,1.090019,1.010752
xgboost,Y,Y,Y,0.95075,0.831349,0.992129,0.994084,0.680508,0.576431
xgboost,Y,Y,N,1.015254,0.890094,0.991025,0.993218,0.729005,0.619109
xgboost,Y,N,Y,0.972112,0.848833,0.991771,0.993832,0.70132,0.594304
xgboost,Y,N,N,1.496475,1.392058,0.9805,0.98341,1.104328,1.015907
LR,Y,Y,Y,1.93214,1.824025,0.967492,0.971029,1.49189,1.404614
LR,Y,N,N,1.961999,1.920702,0.96648,0.967876,1.520795,1.480074
