features,FLAML_2006,FLAML_2006_std,xgboost_2006,xgboost_2006_std,FLAML_2061,FLAML_2061_std,xgboost_2061,xgboost_2061_std,category
FLNS,0.0155866719518325,0.6067458790450031,-0.05233604,0.5518251,0.0008579291502113884,0.572062723206981,-0.060299564,0.520529,cam
FSNS,0.00926434853943571,1.1669760841077457,0.0017999162,1.4324391,0.010736099583187234,1.265162040941912,0.015591746,1.0740134,cam
PRECT,0.03749198173975918,0.22951354355701306,0.016905764,0.2313863,0.04418753051734724,0.25566655342764427,0.014171825,0.25371692,cam
PRSN,0.12342772618713403,0.7968865628926243,0.19033939,1.0410432,0.09938167828670069,0.48400781940529347,0.052745894,0.12593661,cam
QBOT,0.2598094101234307,1.0270118510997983,0.2149757,1.1319294,0.19014950770607367,0.8663933070956289,0.21884386,0.4772339,cam
TREFHT,-0.5694668890773802,8.419465545941758,-0.42194703,8.461426,-0.3818996714473662,8.39399048615004,-0.24802957,10.1851,cam
UBOT,0.010209708696077681,0.18711081577131394,0.01184779,0.19499785,0.010800100482214433,0.20706038503748803,0.01076133,0.22380151,cam
VBOT,0.003351206951468629,0.18156218779008063,0.0072021573,0.18597728,0.002647711415529301,0.19488278996499858,0.007531076,0.20511253,cam
CANYON_HWR,0.0052604878194696765,0.09248636917810292,0.008198314,0.08732095,0.004760069554189474,0.1004445710003247,0.009824986,0.09580954,morphological
EM_IMPROAD,0.0004895269515404478,0.013491445940533774,0.0003324448,0.012973803,0.0015666527558557313,0.014205568292508656,-0.0012430821,0.0107575245,radiative
EM_PERROAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,radiative
EM_ROOF,0.003169130691604512,0.03889245501714337,-0.0032141844,0.04335316,0.003488417527099695,0.04109754113601924,-0.0007442389,0.040596705,radiative
EM_WALL,0.00204307626560565,0.06419087147977691,0.005071947,0.06414113,0.004194078599897917,0.06872548456951869,0.004521125,0.077324055,radiative
HT_ROOF,0.004399392886681553,0.028183071075896075,-0.00023076545,0.032287024,0.0030290149358832633,0.029196435822028736,0.0020312045,0.03496244,morphological
THICK_ROOF,0.0010841634691633188,0.06848191326853661,0.0035643105,0.08118337,0.0001658552609369094,0.06340612668817584,0.0029071816,0.06620816,morphological
THICK_WALL,0.014296976114997426,0.038328903648758184,0.010535866,0.043832965,0.01133708429891783,0.033718317258692,0.005087215,0.0351333,morphological
T_BUILDING_MAX,-0.004665910393228835,0.03358155021753324,-0.00095955736,0.042564765,-0.0038510397858882005,0.03356123605489198,0.0070317453,0.05669396,thermal
T_BUILDING_MIN,0.015647235232431098,0.1168436278703224,0.005423808,0.08899406,0.016996989633413218,0.09938277063052166,0.0021463835,0.08920139,thermal
WTLUNIT_ROOF,-0.009489629307634766,0.06465588622424892,0.0008551083,0.050034557,-0.004819814673736649,0.06663450517538783,0.0020836976,0.03859576,morphological
WTROAD_PERV,0.006650007294813292,0.0573030027688598,0.00079507637,0.06053622,0.0042763423386195975,0.054541751893666,0.0040800213,0.039340965,morphological
NLEV_IMPROAD,0.00026290926634949506,0.003920828082820927,-2.9663213e-05,0.0034582703,0.0002959306498167587,0.004761980914887875,0.00018099771,0.0037083684,thermal
PCT_URBAN,0.005249319258558459,0.23057473810333257,0.006620191,0.22536434,0.004138933901817636,0.23397889797057603,0.0073826965,0.22942741,morphological
ALB_IMPROAD,0.0015396398917130235,0.01152422109496068,7.1225513e-06,0.007756258,-0.001733226446235695,0.013265911175453898,-0.00014606066,0.0040117386,radiative
ALB_PERROAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,radiative
ALB_ROOF,0.012358741729622993,0.07263647950369274,0.00060154084,0.045696486,0.005585603836663343,0.08547669793115853,0.002604664,0.03514022,radiative
ALB_WALL,0.015265515900509926,0.08662063873268463,0.01128616,0.095606096,0.013836871633022062,0.09195698769173698,0.012706653,0.12382353,radiative
TK_ROOF,0.005258760496522016,0.07424509215116185,0.0009305728,0.049387448,0.011279559274284999,0.08289793037137926,0.0038417294,0.0712334,thermal
TK_WALL,0.00397681720821195,0.05557536244734265,0.0025318742,0.047937006,0.0031710687149469475,0.06197765396606228,0.008176677,0.04872978,thermal
CV_ROOF,0.006799631977934938,0.04734922866216222,0.0025845133,0.04858673,0.004855969405952086,0.047445967086059374,0.008373589,0.053449612,thermal
CV_WALL,0.0026361523901679523,0.05006189198700935,0.010083472,0.06844723,0.007447921255180599,0.05800383608979192,0.0009194974,0.037935145,thermal
TK_IMPROAD_0,-0.004167531547808004,0.020562931507349728,7.717343e-07,0.015775383,-0.005137967375373963,0.016820657470497654,-0.0012304266,0.012874493,thermal
CV_IMPROAD_0,0.003061655057645904,0.018444005862875465,-0.0051959073,0.011361729,0.005335381419347457,0.025155867710829016,-0.001707025,0.007235002,thermal
TK_IMPROAD_1,-0.0037028681205492618,0.015153146138844007,-0.00056544115,0.014071609,-0.0017308431195775613,0.01705182503909613,0.00092958077,0.0093668215,thermal
CV_IMPROAD_1,-0.0028392188074746203,0.016544347108907093,-0.001589195,0.011603218,0.0007494015071110745,0.014860402352074226,-0.0010035911,0.009902921,thermal
lat,0.12218121939531242,0.3369316970556535,0.06489438,0.32008395,0.10975875827328221,0.3397713172430788,0.061898593,0.37255624,loc
lon,-0.04072275354933723,0.33433390338130287,-0.035128582,0.3329776,-0.037378287872362456,0.3494723178695569,-0.01659519,0.3860274,loc
