city,surf,loc,rmse,r2,mae
1,N,N,1.845901881664196,0.9570047282427764,1.4012664694980137
1,N,Y,1.1092890766405108,0.9844726868036908,0.8515969828363477
1,Y,N,1.1297852324839237,0.9838928304147391,0.8604119868262918
1,Y,Y,1.109529486995078,0.9844657912170186,0.8486975292272251
2,N,N,1.8953875933898525,0.9660465769781174,1.472625858206014
2,N,Y,1.2265439322492362,0.9857833031041092,0.9049594798349927
2,Y,N,1.2233859576523467,0.985855497338046,0.8912166523344486
2,Y,Y,1.198729394682551,0.98642090388732,0.872670636417265
3,N,N,1.4407255544559425,0.9869052203677852,1.1035057126364347
3,N,Y,1.0121139057150883,0.9935360833536431,0.769531227383241
3,Y,N,1.036975437939617,0.9932146984814448,0.7861722051119026
3,Y,Y,1.0016190231292565,0.9936692831328078,0.7582805650300091
