model,CAM,surf,loc,train-rmse,test-rmse,train-r2,test-r2,train-mae,test-mae,best_model,year
FLAML,Y,Y,Y,0.65859941,0.813322,0.996352719,0.994433,0.484826181,0.571153,lgbm,2006
FLAML,Y,Y,N,0.696451859,0.847679,0.995921422,0.993952,0.511671694,0.597724,lgbm,2006
FLAML,Y,N,Y,0.735109718,0.824688,0.995456078,0.994276,0.536012106,0.583291,lgbm,2006
FLAML,Y,N,N,1.078917246,1.375031,0.990211801,0.984086,0.797792006,1.005566,lgbm,2006
lgbm,Y,Y,Y,0.65859941,0.813322,0.996352719,0.994433,0.484826181,0.571153,,2006
lgbm,Y,Y,N,0.598708779,0.83893,0.996985899,0.994076,0.447252148,0.589931,,2006
lgbm,Y,N,Y,0.402602765,0.814706,0.99863705,0.994414,0.299873913,0.566387,,2006
lgbm,Y,N,N,1.197009161,1.373223,0.987951819,0.984128,0.888197253,1.005236,,2006
xgboost,Y,Y,Y,0.65793055,0.840365,0.996360126,0.994057,0.4839233,0.579342,,2006
xgboost,Y,Y,N,0.45166007,0.896522,0.998284662,0.993236,0.3412917,0.618397,,2006
xgboost,Y,N,Y,0.6986662,0.850993,0.995895446,0.993905,0.5162194,0.591092,,2006
xgboost,Y,N,N,1.330022,1.395986,0.985125433,0.983598,0.97826844,1.016281,,2006
FLAML,Y,Y,Y,0.660663141,0.80814,0.996198299,0.994313,0.488534848,0.573159,lgbm,2061
FLAML,Y,Y,N,0.696712007,0.841556,0.995772103,0.993833,0.514461759,0.599209,lgbm,2061
FLAML,Y,N,Y,0.734939564,0.819228,0.995295418,0.994156,0.538519949,0.584639,lgbm,2061
FLAML,Y,N,N,0.910807266,1.374599,0.992774452,0.983546,0.671866981,1.007563,lgbm,2061
lgbm,Y,Y,Y,0.660663141,0.80814,0.996198299,0.994313,0.488534848,0.573159,,2061
lgbm,Y,Y,N,0.686955935,0.839991,0.995889681,0.993856,0.5093479,0.597952,,2061
lgbm,Y,N,Y,0.405465087,0.807184,0.99856806,0.994327,0.302691648,0.567816,,2061
lgbm,Y,N,N,1.050097773,1.376213,0.990395445,0.983508,0.781016357,1.010752,,2061
xgboost,Y,Y,Y,0.59818786,0.831349,0.996883315,0.994084,0.44453144,0.576431,,2061
xgboost,Y,Y,N,0.7292471,0.890094,0.995368016,0.993218,0.5267093,0.619109,,2061
xgboost,Y,N,Y,0.7540014,0.848833,0.99504821,0.993832,0.5462928,0.594304,,2061
xgboost,Y,N,N,1.2830505,1.392058,0.985661449,0.98341,0.9473253,1.015907,,2061
LR,Y,Y,Y,1.89900626,1.898434,0.9696765,0.969664,1.460180633,1.459728,,2006
LR,Y,N,N,1.93045279,1.929821,0.968663903,0.968653,1.479740873,1.479195,,2006
LR,Y,Y,Y,1.823630389,1.824025,0.971033806,0.971029,1.404138473,1.404614,,2061
LR,Y,N,N,1.920467776,1.920702,0.967875836,0.967876,1.479741596,1.480074,,2061
